date,month,time,carbon_monoxide,tin_oxide,hydrocarbons,benzene,titania,nitrous_oxide,tungsten_oxide,nitrous_dioxide,indium_oxide,temperature,relative_humidity,absolute_humidity
14/03/2004,,9,1.6,1235,57,6.4,828,118,1055,83,1093,12.4,60.0,0.8627
14/03/2004,,10,2.2,1332,129,8.6,923,144,952,98,1225,14.5,53.1,0.8728
14/03/2004,,11,2.8,1445,148,10.9,1009,176,878,114,1355,16.9,46.1,0.8789
14/03/2004,,12,2.8,1416,145,10.7,1002,161,907,119,1262,19.3,38.3,0.8474
14/03/2004,,13,2,1281,93,7.5,880,113,1084,104,980,21.2,31.4,0.7812
14/03/2004,,14,1.8,1207,84,7.5,879,103,1104,102,872,21.4,30.2,0.7616
14/03/2004,,15,1.9,1258,99,8.2,906,112,1081,107,900,21.9,29.0,0.7525
14/03/2004,,16,3,1458,150,11.9,1045,170,974,129,1099,22.2,28.4,0.7516
14/03/2004,,17,2.9,1438,156,12.0,1051,180,943,128,1206,21.3,30.8,0.7696
14/03/2004,,18,2.5,1478,122,12.2,1055,160,929,121,1262,19.7,36.7,0.8307
14/03/2004,,19,4.6,1808,262,20.6,1312,261,753,157,1698,18.4,41.7,0.8732
14/03/2004,,20,5.9,1898,341,23.1,1381,325,681,173,1905,17.6,46.1,0.9210
14/03/2004,,21,3.4,1560,214,14.7,1140,217,784,146,1648,16.7,49.6,0.9320
14/03/2004,,22,2.1,1324,100,9.0,940,146,924,121,1423,16.3,51.0,0.9341
14/03/2004,,23,2.2,1349,79,8.8,933,152,933,119,1349,14.7,55.9,0.9314
15/03/2004,,0,1.8,1239,66,7.4,872,104,985,99,1250,14.8,54.7,0.9164
15/03/2004,,1,1.8,1239,73,6.9,853,106,1010,93,1174,14.0,57.0,0.9094
15/03/2004,,2,1.8,1224,66,7.0,855,108,998,88,1149,13.4,61.3,0.9361
15/03/2004,,3,1.1,1078,44,4.4,734,-200,1128,-200,1021,12.6,63.5,0.9230
15/03/2004,,4,-200,1078,44,4.0,711,66,1150,71,1013,12.3,65.4,0.9351
15/03/2004,,5,1,1075,39,3.9,703,88,1156,74,1010,11.9,67.4,0.9375
15/03/2004,,6,1.4,1157,51,6.4,830,138,1030,80,1083,11.4,70.5,0.9475
15/03/2004,,7,2.2,1314,107,9.7,966,228,897,89,1235,11.3,70.2,0.9401
15/03/2004,,8,5.5,1797,336,25.9,1451,360,652,114,1680,12.4,63.9,0.9170
15/03/2004,,9,8.1,1961,618,36.7,1701,478,537,149,2184,14.8,54.3,0.9076
15/03/2004,,10,5.8,1771,438,26.6,1470,394,622,157,1973,17.4,45.6,0.8993
15/03/2004,,11,4.2,1564,334,20.1,1300,319,710,155,1798,19.8,38.5,0.8801
15/03/2004,,12,3.1,1430,221,14.1,1120,201,831,134,1522,22.0,34.1,0.8904
15/03/2004,,13,2.9,1417,207,14.9,1146,171,830,119,1404,23.3,32.2,0.9096
15/03/2004,,14,2.9,1400,191,15.4,1162,159,838,111,1263,23.9,30.0,0.8757
15/03/2004,,15,2.5,1317,185,12.1,1053,153,926,104,1137,24.4,28.9,0.8736
15/03/2004,,16,2.3,1318,141,11.5,1033,143,950,99,1068,24.4,29.4,0.8848
15/03/2004,,17,2.8,1445,214,14.8,1141,156,857,110,1252,23.8,31.3,0.9137
15/03/2004,,18,6.1,1917,471,32.1,1601,314,631,162,1843,22.5,35.4,0.9547
15/03/2004,,19,8,2040,685,39.2,1754,404,542,187,2122,20.4,42.5,186
15/03/2004,,20,6.5,1895,538,31.0,1573,320,565,165,1992,18.3,52.6,1.0945
15/03/2004,,21,4.2,1595,319,19.9,1294,256,678,145,1707,16.7,57.4,1.0786
15/03/2004,,22,3.2,1439,224,15.3,1159,193,764,125,1494,15.7,60.2,1.0654
15/03/2004,,23,1.4,1142,67,6.9,852,89,1008,101,1164,15.3,61.4,1.0580
16/03/2004,,0,2.1,1304,155,11.1,1019,127,852,103,1272,14.1,65.7,1.0494
16/03/2004,,1,1.2,1074,49,5.4,784,79,1098,88,1040,14.8,60.6,1.0148
16/03/2004,,2,0.8,968,29,2.8,640,43,1320,61,867,14.8,59.2,0.9879
16/03/2004,,3,0.7,929,25,2.3,608,-200,1376,-200,826,13.6,62.1,0.9636
16/03/2004,,4,-200,941,25,2.6,626,59,1316,59,840,12.3,66.2,0.9450
16/03/2004,,5,0.6,937,17,2.0,585,38,1412,52,793,12.8,63.2,0.9283
16/03/2004,,6,0.9,1017,27,3.5,681,82,1246,64,870,11.2,68.5,0.9081
16/03/2004,,7,1.3,1171,50,5.1,770,99,1162,70,930,11.0,66.5,0.8705
16/03/2004,,8,3.4,1541,218,16.2,1185,263,770,97,1407,11.7,63.7,0.8719
16/03/2004,,9,3.7,1539,285,19.7,1287,229,698,95,1507,13.6,56.3,0.8743
16/03/2004,,10,5.3,1735,437,25.1,1431,396,628,150,1843,17.8,42.9,0.8672
16/03/2004,,11,4.1,1571,327,20.0,1297,314,730,162,1729,21.4,33.3,0.8417
16/03/2004,,12,3.3,1452,283,18.3,1250,217,776,154,1583,24.4,27.4,0.8231
16/03/2004,,13,4,1579,366,22.3,1359,252,724,161,1671,25.3,26.1,0.8264
16/03/2004,,14,3.8,1466,318,20.4,1309,263,773,161,1491,25.8,23.2,0.7589
16/03/2004,,15,2.8,1280,228,14.6,1136,180,893,128,1240,27.0,20.2,0.7094
16/03/2004,,16,2.9,1407,201,16.6,1197,184,905,129,1313,28.2,18.6,0.7014
16/03/2004,,17,2.9,1389,199,15.8,1173,190,898,133,1363,28.0,19.1,0.7098
16/03/2004,,18,3.4,1447,237,17.8,1235,184,859,139,1296,23.9,25.7,0.7519
16/03/2004,,19,3.9,1551,261,19.1,1271,181,800,137,1432,21.3,34.8,0.8730
16/03/2004,,20,3.2,1474,230,15.8,1173,166,854,143,1432,20.4,36.7,0.8704
16/03/2004,,21,5.1,1800,349,24.9,1426,317,700,177,2034,19.0,41.3,0.9007
16/03/2004,,22,2.6,1379,183,13.5,1101,184,818,138,1602,17.9,45.9,0.9342
16/03/2004,,23,1.7,1201,88,9.1,943,130,935,117,1362,16.7,48.9,0.9226
17/03/2004,,0,1.7,1205,85,8.6,925,132,922,107,1314,15.5,52.9,0.9271
17/03/2004,,1,1.2,1072,47,5.4,784,95,1066,90,1114,15.5,51.9,0.9059
17/03/2004,,2,0.9,998,34,4.1,714,70,1169,79,992,14.1,55.6,0.8910
17/03/2004,,3,0.7,933,26,2.6,625,-200,1292,-200,884,13.1,57.9,0.8666
17/03/2004,,4,-200,883,17,1.9,577,54,1396,60,808,12.7,57.9,0.8447
17/03/2004,,5,0.5,869,11,1.6,554,28,1460,40,667,11.8,58.0,0.8026
17/03/2004,,6,0.5,891,18,1.9,576,46,1417,53,733,11.9,57.4,0.7978
17/03/2004,,7,1.6,1173,84,7.5,878,160,1038,84,1052,9.9,65.2,0.7956
17/03/2004,,8,4.1,1587,260,21.4,1334,320,702,108,1534,11.1,60.2,0.7958
17/03/2004,,9,6.6,1852,534,36.4,1696,377,553,127,1931,14.1,50.0,0.8020
17/03/2004,,10,4.3,1522,368,21.3,1331,280,703,134,1734,17.7,40.1,0.8048
17/03/2004,,11,2.9,1438,200,15.4,1161,221,819,135,1595,21.1,33.4,0.8265
17/03/2004,,12,2.5,1393,145,12.5,1067,210,905,142,1490,24.3,28.3,0.8471
17/03/2004,,13,2.8,1452,188,15.1,1152,204,861,153,1508,25.6,25.6,0.8254
17/03/2004,,14,2.6,1389,152,13.7,1108,161,887,123,1334,25.9,25.9,0.8503
17/03/2004,,15,2,1207,103,10.4,994,135,1013,104,1045,26.8,18.7,0.6500
17/03/2004,,16,2.9,1365,193,15.2,1154,186,940,129,1221,29.3,15.8,0.6309
17/03/2004,,17,2.5,1247,134,12.3,1060,147,1032,114,1069,28.5,14.9,0.5708
17/03/2004,,18,5,1557,386,27.0,1478,299,793,158,1569,25.9,16.0,0.5237
17/03/2004,,19,7.6,1973,577,38.4,1737,411,617,194,2306,23.1,26.5,0.7403
17/03/2004,,20,6.7,1975,523,35.1,1667,347,597,182,2359,20.5,38.2,0.9133
17/03/2004,,21,5.7,1795,472,27.2,1485,336,653,180,2050,19.1,42.6,0.9294
17/03/2004,,22,2.8,1444,206,15.0,1150,202,770,136,1727,17.2,44.1,0.8558
17/03/2004,,23,2.6,1488,216,15.7,1171,178,731,127,1705,16.0,50.9,0.9206
18/03/2004,,0,2.3,1371,159,13.0,1083,154,796,116,1551,14.8,53.9,0.9024
18/03/2004,,1,1.4,1161,70,8.1,904,92,947,107,1240,14.3,55.4,0.8975
18/03/2004,,2,1,1064,44,5.5,787,61,1057,88,1115,14.8,52.1,0.8686
18/03/2004,,3,0.7,970,42,3.6,687,-200,1196,-200,969,13.9,53.9,0.8501
18/03/2004,,4,-200,954,28,2.9,645,60,1260,78,925,11.6,61.9,0.8442
18/03/2004,,5,0.6,931,20,2.5,623,37,1293,57,828,12.0,58.9,0.8233
18/03/2004,,6,0.7,938,26,3.0,650,68,1251,71,893,10.9,62.1,0.8113
18/03/2004,,7,1.5,1166,78,7.7,885,139,1005,85,1075,10.6,63.3,0.8067
18/03/2004,,8,4.7,1643,319,23.3,1384,339,667,124,1610,11.5,60.0,0.8117
18/03/2004,,9,6.6,1934,506,35.8,1682,421,541,151,2051,14.3,50.6,0.8186
18/03/2004,,10,4.5,1617,-200,21.3,1333,349,686,150,1819,17.8,40.5,0.8210
18/03/2004,,11,2.8,1473,-200,14.3,1127,224,831,152,1568,20.8,34.4,0.8365
18/03/2004,,12,2.2,1379,-200,12.5,1068,171,899,139,1374,23.8,28.2,0.8219
18/03/2004,,13,2.2,1385,-200,12.2,1056,149,891,133,1268,24.2,28.7,0.8515
18/03/2004,,14,2.3,1379,-200,13.1,1087,137,901,126,1144,25.2,24.9,0.7829
18/03/2004,,15,2.2,1322,-200,14.4,1129,149,934,128,1109,27.0,17.8,0.6275
18/03/2004,,16,2.8,1496,-200,16.8,1205,172,822,169,1347,27.1,23.1,0.8180
18/03/2004,,17,2.7,1409,-200,14.5,1131,166,873,149,1206,25.8,23.9,0.7832
18/03/2004,,18,3.7,1513,-200,21.5,1338,214,764,156,1397,23.0,26.8,0.7446
18/03/2004,,19,5.1,1667,-200,26.4,1464,280,683,168,1588,20.7,31.1,0.7523
18/03/2004,,20,5.1,1667,-200,26.0,1453,276,684,176,1569,18.6,36.2,0.7676
18/03/2004,,21,3.2,1430,-200,14.1,1121,178,814,135,1322,16.0,48.4,0.8768
18/03/2004,,22,2.1,1333,-200,10.3,989,129,885,121,1194,14.5,57.8,0.9456
18/03/2004,,23,1.7,1262,-200,8.3,911,95,948,99,1062,13.1,64.2,0.9606
19/03/2004,,0,2,1287,-200,8.9,936,126,918,106,1040,12.0,69.7,0.9735
19/03/2004,,1,1.6,1134,-200,6.6,840,103,1021,96,917,11.9,71.1,0.9915
19/03/2004,,2,0.9,999,-200,3.6,688,48,1229,63,594,12.5,69.3,129
19/03/2004,,3,0.7,961,-200,2.5,622,-200,1382,-200,430,12.5,67.5,0.9768
19/03/2004,,4,-200,934,-200,1.8,569,20,1440,32,397,12.3,67.7,0.9665
19/03/2004,,5,0.5,913,-200,1.3,525,18,1620,28,370,12.5,66.8,0.9620
19/03/2004,,6,0.7,969,-200,2.3,607,56,1373,61,438,12.3,66.3,0.9487
19/03/2004,,7,1.5,1182,-200,6.7,845,115,1054,99,704,12.4,64.9,0.9332
19/03/2004,,8,4.8,1740,-200,22.8,1372,320,671,157,1476,13.0,61.6,0.9209
19/03/2004,,9,6.2,1819,-200,31.3,1582,357,575,166,1716,13.6,58.8,0.9120
19/03/2004,,10,4,1427,-200,19.2,1275,253,701,149,1398,13.9,57.1,0.9032
19/03/2004,,11,3.3,1390,-200,16.4,1191,218,759,135,1268,14.5,54.4,0.8917
19/03/2004,,12,2.8,1283,-200,14.0,1117,192,813,127,1188,15.5,50.1,0.8744
19/03/2004,,13,3,1304,-200,15.3,1157,176,793,122,1171,16.1,47.6,0.8655
19/03/2004,,14,3.3,1364,-200,16.7,1202,198,771,135,1250,16.3,47.1,0.8640
19/03/2004,,15,3.5,1410,-200,19.0,1268,212,724,139,1344,16.4,47.5,0.8791
19/03/2004,,16,4,1476,-200,19.4,1280,249,708,147,1378,16.1,50.2,0.9094
19/03/2004,,17,4.6,1522,-200,20.9,1320,270,690,158,1435,16.0,50.7,0.9142
19/03/2004,,18,4.1,1442,-200,20.2,1301,231,704,146,1372,15.8,50.3,0.8989
19/03/2004,,19,4.5,1469,-200,21.7,1344,251,677,144,1471,15.5,50.6,0.8840
19/03/2004,,20,3.9,1467,-200,19.8,1292,210,698,138,1439,15.4,51.4,0.8956
19/03/2004,,21,4,1421,-200,16.7,1202,249,748,143,1429,15.2,53.1,0.9117
19/03/2004,,22,2.2,1175,-200,9.1,945,143,904,116,1081,14.7,57.6,0.9573
19/03/2004,,23,2.1,1215,-200,8.3,912,127,948,109,993,14.2,58.3,0.9380
20/03/2004,,0,1.7,1127,-200,5.8,802,104,1064,92,837,13.8,57.9,0.9085
20/03/2004,,1,1.6,1090,-200,5.2,773,86,1105,83,761,13.9,55.9,0.8842
20/03/2004,,2,1.3,1017,-200,4.1,718,74,1182,81,650,13.9,55.6,0.8765
20/03/2004,,3,1.3,997,-200,3.4,677,-200,1252,-200,591,13.8,55.1,0.8666
20/03/2004,,4,-200,945,-200,2.9,646,44,1308,55,505,13.8,54.6,0.8574
20/03/2004,,5,0.8,956,-200,3.1,661,42,1260,53,518,13.6,55.1,0.8560
20/03/2004,,6,0.8,966,-200,2.5,622,63,1317,67,571,13.6,59.0,0.9129
20/03/2004,,7,1.1,1064,-200,4.3,728,115,1161,91,842,13.5,58.4,0.8960
20/03/2004,,8,2.1,1300,-200,8.9,935,170,902,113,1145,13.8,58.0,0.9083
20/03/2004,,9,2.4,1348,-200,10.5,998,147,834,102,1218,14.6,53.1,0.8765
20/03/2004,,10,2.6,1425,-200,12.5,1068,166,776,107,1341,15.0,52.3,0.8881
20/03/2004,,11,2.8,1474,-200,12.3,1061,195,768,113,1406,15.4,52.1,0.9046
20/03/2004,,12,2.6,1490,-200,11.7,1039,182,782,108,1422,16.3,50.0,0.9158
20/03/2004,,13,2.6,1495,-200,11.7,1040,168,809,105,1373,17.1,47.9,0.9281
20/03/2004,,14,2.1,1376,-200,9.3,953,125,900,93,1153,19.0,42.9,0.9370
20/03/2004,,15,1.7,1305,-200,7.6,884,95,980,87,927,19.5,42.3,0.9476
20/03/2004,,16,1.6,1283,-200,6.7,844,79,1036,76,766,19.5,42.3,0.9493
20/03/2004,,17,2.1,1392,-200,9.7,967,119,930,94,941,19.1,43.8,0.9556
20/03/2004,,18,2.3,1452,-200,12.4,1063,142,856,110,1146,18.5,46.3,0.9744
20/03/2004,,19,3.5,1633,-200,16.6,1199,215,734,136,1417,17.4,51.6,1.0159
20/03/2004,,20,3.9,1625,-200,16.4,1191,229,733,139,1442,17.1,51.3,0.9914
20/03/2004,,21,3.3,1535,-200,13.7,1108,206,785,125,1323,16.4,53.8,0.9964
20/03/2004,,22,2.3,1323,-200,9.9,973,147,864,111,1125,16.2,55.4,1.0132
20/03/2004,,23,2.1,1309,-200,8.9,937,122,905,97,1036,15.9,57.7,1.0356
21/03/2004,,0,2.8,1456,-200,10.6,999,175,835,107,1202,15.7,58.6,1.0396
21/03/2004,,1,2.1,1300,-200,7.4,872,133,941,90,1054,15.1,60.9,1.0398
21/03/2004,,2,1.6,1203,-200,6.2,823,89,1004,84,903,15.6,56.6,0.9951
21/03/2004,,3,1.6,1195,-200,6.5,836,-200,987,-200,885,15.2,57.9,0.9941
21/03/2004,,4,-200,1117,-200,5.8,802,85,1029,87,818,15.4,57.8,121
21/03/2004,,5,1.1,1062,-200,4.0,711,55,1136,66,700,14.9,60.6,1.0196
21/03/2004,,6,0.7,947,-200,2.1,594,24,1300,36,580,14.5,63.0,1.0316
21/03/2004,,7,0.8,1065,-200,3.6,687,72,1143,62,815,14.2,66.2,1.0630
21/03/2004,,8,1.2,1155,-200,4.4,734,122,1062,91,1035,14.5,65.3,1.0704
21/03/2004,,9,1.4,1220,-200,5.4,782,111,996,89,1067,15.3,62.1,1.0730
21/03/2004,,10,1.7,1301,-200,7.1,862,123,914,93,1114,16.3,59.0,1.0868
21/03/2004,,11,1.8,1279,-200,7.3,870,106,911,81,1000,18.9,49.6,1.0700
21/03/2004,,12,1.8,1267,-200,7.6,883,103,953,82,906,19.4,46.1,1.0249
21/03/2004,,13,1.9,1239,-200,6.8,848,102,981,80,822,20.8,41.6,191
21/03/2004,,14,1.3,1128,-200,4.6,742,48,1144,48,610,21.4,40.3,1.0126
21/03/2004,,15,1.6,1243,-200,8.4,916,63,962,61,657,21.2,39.3,0.9791
21/03/2004,,16,1.9,1208,-200,6.9,853,98,1060,89,647,20.3,38.0,0.8942
21/03/2004,,17,2.3,1306,-200,9.0,938,132,961,105,762,19.4,41.3,0.9206
21/03/2004,,18,3.8,1546,-200,15.1,1151,173,769,116,1122,18.5,43.8,0.9252
21/03/2004,,19,3.5,1501,-200,12.6,1071,185,823,119,1130,17.8,48.1,0.9689
21/03/2004,,20,4.3,1605,-200,15.1,1153,266,769,144,1637,17.9,46.9,0.9520
21/03/2004,,21,2.8,1316,-200,9.9,974,188,883,123,1272,17.4,49.1,0.9688
21/03/2004,,22,1.9,1195,-200,8.0,898,122,933,105,1098,17.0,51.7,0.9914
21/03/2004,,23,1.9,1211,-200,7.9,896,112,920,93,1066,16.4,55.1,1.0198
22/03/2004,,0,1.7,1161,-200,6.1,815,93,995,86,909,16.1,60.0,1.0919
22/03/2004,,1,1.5,1095,-200,5.1,767,74,1050,76,818,15.8,60.5,1.0805
22/03/2004,,2,0.6,897,-200,1.7,563,23,1417,33,472,16.3,57.0,1.0491
22/03/2004,,3,0.4,842,-200,0.7,468,-200,1813,-200,394,16.9,53.9,1.0309
22/03/2004,,4,-200,854,-200,0.8,481,17,1756,27,396,16.1,55.9,1.0153
22/03/2004,,5,0.3,845,-200,0.7,472,15,1786,23,378,16.5,53.9,149
22/03/2004,,6,0.6,942,-200,2.0,586,41,1480,46,432,16.4,54.0,0.9979
22/03/2004,,7,1.2,1090,-200,5.1,768,86,1072,76,699,15.7,57.6,1.0195
22/03/2004,,8,3.6,1514,-200,17.7,1230,226,732,116,1252,15.8,53.7,0.9571
22/03/2004,,9,3.7,1379,-200,18.4,1252,214,711,115,1237,17.4,42.1,0.8281
22/03/2004,,10,1.8,1074,-200,6.9,854,115,1032,83,772,17.9,38.4,0.7793
22/03/2004,,11,1.6,1090,-200,7.3,868,124,1026,87,766,18.5,36.7,0.7764
22/03/2004,,12,1.9,1110,-200,9.6,964,122,947,90,829,21.0,29.6,0.7263
22/03/2004,,13,2,1102,-200,10.4,994,107,955,87,783,21.3,28.1,0.7067
22/03/2004,,14,2.2,1100,-200,11.2,1021,133,952,99,822,21.3,26.1,0.6539
22/03/2004,,15,2.1,1094,-200,10.7,1003,130,965,99,813,21.3,26.8,0.6681
22/03/2004,,16,2.3,1076,451,11.6,1034,150,964,101,813,21.3,24.2,0.6060
22/03/2004,,17,2.6,1152,185,12.4,1062,138,928,103,850,20.2,28.5,0.6682
22/03/2004,,18,3.8,1407,426,18.3,1249,213,720,129,1276,17.0,43.1,0.8264
